city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tongren,27.7233,109.1885,China,CN,Guizhou,,3168800,3168800
Qinhuangdao,39.9398,119.5881,China,CN,Hebei,,3146300,3146300
Tongliao,43.6172,122.2640,China,CN,Inner Mongolia,minor,3139153,2873168
Jinzhou,41.1144,121.1292,China,CN,Liaoning,,3126463,2703853
Heyuan,23.7503,114.6923,China,CN,Guangdong,minor,3093900,2837686
Xinzhou,38.4178,112.7233,China,CN,Shanxi,minor,3067501,3067501
Lanzhou,36.0617,103.8318,China,CN,Gansu,admin,3067141,3067142
Wuzhou,23.4833,111.3167,China,CN,Guangxi,minor,3061100,3061100
Chaoyang,41.5757,120.4486,China,CN,Liaoning,,3044641,2872857
Shaoguan,24.8011,113.5927,China,CN,Guangdong,minor,2997600,2855131
Shanwei,22.7664,115.3331,China,CN,Guangdong,minor,2993600,2672819
Rizhao,35.4164,119.4331,China,CN,Shandong,minor,2968365,2968365
Meishan,30.0575,103.8381,China,CN,Sichuan,,2950545,2950545
Ningde,26.6617,119.5228,China,CN,Fujian,minor,2910000,2910000
Zhongshan,22.5333,113.3500,China,CN,Guangdong,minor,2909633,2909634
Weihai,37.5000,122.1000,China,CN,Shandong,minor,2906548,2906548
Daqing,46.5979,125.0080,China,CN,Heilongjiang,minor,2904532,2781562
Haikou,20.0200,110.3200,China,CN,Hainan,admin,2873358,2873358
Xiangtan,27.8431,112.9228,China,CN,Hunan,,2864800,2726181
Mudanjiang,44.5861,129.5997,China,CN,Heilongjiang,minor,2798723,2290208
Longyan,25.0881,117.0244,China,CN,Fujian,minor,2723637,2723637
Tieling,42.2841,123.8365,China,CN,Liaoning,,2717732,2388294
Baotou,40.6562,109.8345,China,CN,Inner Mongolia,,2709378,2709378
Handan,36.6116,114.4894,China,CN,Hebei,minor,2708015,2708016
Dingxi,35.5806,104.6263,China,CN,Gansu,minor,2698624,2524097
Nanping,26.6448,118.1728,China,CN,Fujian,minor,2690000,2680645
Zigong,29.3498,104.7645,China,CN,Sichuan,,2678899,2489256
Chaozhou,23.6700,116.6300,China,CN,Guangdong,minor,2656600,2656600
Weifang,36.7167,119.1000,China,CN,Shandong,,2636154,2636155
Huai’an,33.5058,119.1392,China,CN,Jiangsu,,2632788,2632789
Zibo,36.7831,118.0497,China,CN,Shandong,,2631647,2631648
Ankang,32.6877,109.0235,China,CN,Shaanxi,,2629906,2629906
Baoshan,25.1211,99.1690,China,CN,Yunnan,,2627000,2627000
Huludao,40.7094,120.8378,China,CN,Liaoning,minor,2623541,2434194
Gulou,26.0865,119.2980,China,CN,Fujian,minor,2606000,2606000
Yanjiang,30.1256,104.6397,China,CN,Sichuan,minor,2593843,2308631
Sanming,26.2658,117.6302,China,CN,Fujian,minor,2580000,2580000
Longba,33.5350,105.3490,China,CN,Gansu,,2567718,2407272
Yangjiang,21.8556,111.9627,China,CN,Guangdong,minor,2555600,2555600
Jiamusi,46.8081,130.3653,China,CN,Heilongjiang,minor,2552097,2552097
Luohe,33.5830,114.0109,China,CN,Henan,minor,2544266,2544266
Lincang,23.8864,100.0871,China,CN,Yunnan,,2536000,2536000
Xuanzhou,30.9475,118.7518,China,CN,Anhui,,2532938,2500063
Yunfu,22.9242,112.0353,China,CN,Guangdong,minor,2526900,2383350
Shaoxing,30.0000,120.5833,China,CN,Zhejiang,minor,2521964,2521965
Yantai,37.3997,121.2664,China,CN,Shandong,,2511053,2511054
Huizhou,23.1115,114.4152,China,CN,Guangdong,minor,2509243,2509244
Lishui,28.4500,119.9167,China,CN,Zhejiang,minor,2507396,2507396
Guangyuan,32.4353,105.8398,China,CN,Sichuan,,2484122,2484122
Huangshi,30.2018,115.0326,China,CN,Hubei,minor,2471700,2469079
Xining,36.6239,101.7787,China,CN,Qinghai,admin,2467965,2467965
Dandong,40.1167,124.3833,China,CN,Liaoning,,2444697,2188436
Zhuhai,22.2769,113.5678,China,CN,Guangdong,minor,2439585,2439585
Yingkou,40.6653,122.2297,China,CN,Liaoning,minor,2428534,2428534
Lianshan,40.7523,120.8280,China,CN,Liaoning,minor,2426000,2426000
Jilin,43.8519,126.5481,China,CN,Jilin,,2396000,2396000
Yuxi,24.3495,102.5432,China,CN,Yunnan,minor,2386000,2386000
Luoyang,34.6587,112.4245,China,CN,Henan,,2372571,2372572
Anshun,26.2456,105.9340,China,CN,Guizhou,,2353100,2353100
Shangzhou,33.8680,109.9244,China,CN,Shaanxi,,2341742,2041231
Huainan,32.4831,117.0164,China,CN,Anhui,,2333896,2333896
Kuaidamao,41.7302,125.9471,China,CN,Jilin,minor,2324439,1302778
Yan’an,36.5952,109.4863,China,CN,Shaanxi,,2282581,2282581
Jincheng,35.4906,112.8483,China,CN,Shanxi,minor,2279146,2279146
Nantong,31.9829,120.8873,China,CN,Jiangsu,minor,2261382,2261383
Sanmenxia,34.7736,111.1950,China,CN,Henan,,2234018,2034872
Laibin,23.7333,109.2333,China,CN,Guangxi,minor,2233900,2233900
Qinbaling,35.7278,107.6400,China,CN,Gansu,,2211191,2179716
Ma’anshan,31.6858,118.5101,China,CN,Anhui,minor,2202899,2159930
Shengli,37.4500,118.4667,China,CN,Shandong,minor,2193518,2193518
Gaoping,30.7824,106.1281,China,CN,Sichuan,minor,2174000,2174000
Taizhou,28.6583,121.4221,China,CN,Zhejiang,minor,2162461,2162461
Puning,23.2993,116.1586,China,CN,Guangdong,,2118200,2118200
Huaibei,33.9562,116.7890,China,CN,Anhui,,2114276,2114276
Qingyang,24.8141,118.5792,China,CN,Fujian,minor,2111000,2061600
Chongzuo,22.4167,107.3667,China,CN,Guangxi,minor,2099400,2099400
Yushan,31.3867,120.9766,China,CN,Jiangsu,minor,2092496,2092496
Hezhou,24.4164,111.5478,China,CN,Guangxi,minor,2072600,2072600
Pingliang,35.5412,106.6819,China,CN,Gansu,minor,2068033,2068033
Baicheng,45.6148,122.8320,China,CN,Jilin,minor,2032356,2032356
Fushun,41.8708,123.8917,China,CN,Liaoning,,2024000,1861372
Pingxiang,27.6333,113.8500,China,CN,Jiangxi,minor,1933200,1933200
Yinchuan,38.4795,106.2254,China,CN,Ningxia,admin,1901793,1901793
Xiping,40.0820,113.2981,China,CN,Shanxi,minor,1873000,1873000
Jixi,45.2937,130.9650,China,CN,Heilongjiang,minor,1862165,1862165
Liaoyang,41.2643,123.1772,China,CN,Liaoning,,1858768,1604580
Beihai,21.4667,109.1000,China,CN,Guangxi,minor,1853227,1853227
Fuxin,42.0127,121.6486,China,CN,Liaoning,,1819339,1819339
Wuwei,37.9278,102.6329,China,CN,Gansu,minor,1815059,1815059
Shuyangzha,34.1299,118.7734,China,CN,Jiangsu,,1770000,1770000
Shuozhou,39.3408,112.4292,China,CN,Shanxi,minor,1714857,1714857
Benxi,41.2920,123.7610,China,CN,Liaoning,,1709538,1326018
Baiyin,36.5448,104.1766,China,CN,Gansu,minor,1708751,1512110
Sanzhou,30.8200,108.4000,China,CN,Chongqing,,1680000,1680000
Changshu,31.6500,120.7333,China,CN,Jiangsu,,1677050,1677050
Heihe,50.2458,127.4886,China,CN,Heilongjiang,minor,1673899,1673899
Jingdezhen,29.2942,117.2036,China,CN,Jiangxi,minor,1673200,1618979
Chengtangcun,35.0833,117.1500,China,CN,Shandong,,1603659,1603659
Hebi,35.7497,114.2887,China,CN,Henan,,1569208,1569208
Huzhou,30.8925,120.0875,China,CN,Zhejiang,minor,1558826,1558826
Zhangjiajie,29.1255,110.4844,China,CN,Hunan,minor,1537900,1517027
Jiaxing,30.7522,120.7500,China,CN,Zhejiang,minor,1518654,1518654
Guiping,23.4000,110.0833,China,CN,Guangxi,minor,1511011,1511011
Lianjiang,21.6146,110.2794,China,CN,Guangdong,,1509400,1509400
Ximeicun,24.9633,118.3811,China,CN,Fujian,,1508000,1508000
Jianguang,28.1958,115.7833,China,CN,Jiangxi,,1507402,1507402
Yucheng,29.9888,103.0007,China,CN,Sichuan,minor,1507258,1507258
Xushan,30.1697,121.2665,China,CN,Zhejiang,minor,1502000,1502000
Leizhou,20.9147,110.0806,China,CN,Guangdong,minor,1494700,1494700
Huazhou,32.6832,112.0790,China,CN,Henan,minor,1468061,1468061
Jinhua,29.1046,119.6494,China,CN,Zhejiang,minor,1463990,1463990
Shuangyashan,46.6388,131.1545,China,CN,Heilongjiang,minor,1462626,1208803
Pizhou,34.3422,118.0097,China,CN,Jiangsu,,1458038,1458038
Yangshe,31.8775,120.5512,China,CN,Jiangsu,minor,1432044,1432044
Guyuan,36.0080,106.2782,China,CN,Ningxia,,1426000,1142142
Rui’an,27.7780,120.6526,China,CN,Zhejiang,,1424667,1424667
Wenling,28.3797,121.3718,China,CN,Zhejiang,,1416199,1416199
Gaozhou,21.9135,110.8481,China,CN,Guangdong,minor,1414100,1414100
Chizhou,30.6583,117.4849,China,CN,Anhui,minor,1402518,1342764
Fuqing,25.7232,119.3735,China,CN,Fujian,minor,1390487,1390487
Wuzhong,37.9874,106.1919,China,CN,Ningxia,minor,1382713,1382713
Pingdu,36.7833,119.9556,China,CN,Shandong,,1378900,1378900
Yangquan,37.8576,113.5762,China,CN,Shanxi,minor,1368502,1368502
Yutan,28.3147,112.5540,China,CN,Hunan,minor,1368117,1368117
Huangshan,29.7132,118.3151,China,CN,Anhui,minor,1358980,1330565
Liangshi,27.2578,111.7351,China,CN,Hunan,,1335900,1335900
Xintai,35.9100,117.7800,China,CN,Shandong,,1315942,1315942
Wusong,30.9333,117.7667,China,CN,Anhui,minor,1311726,1311726
Yushu,44.8249,126.5451,China,CN,Jilin,minor,1304436,1304436
Rongcheng,26.2312,104.0966,China,CN,Yunnan,,1302891,1302891
Huazhou,21.6540,110.6294,China,CN,Guangdong,,1302100,1302100
Baishan,41.9377,126.4179,China,CN,Jilin,minor,1296127,1296127
Dayan,26.8808,100.2208,China,CN,Yunnan,,1296000,1254000
Haicheng,40.8523,122.7474,China,CN,Liaoning,minor,1293877,1293877
Jiangyin,31.9087,120.2653,China,CN,Jiangsu,,1285785,1285785
Yicheng,31.3697,119.8239,China,CN,Jiangsu,minor,1285785,1285785
Rucheng,32.3852,120.5634,China,CN,Jiangsu,minor,1267066,1267066
Huaiyin,33.5819,119.0280,China,CN,Jiangsu,,1264000,1264000
Shaoyang,32.9387,119.8404,China,CN,Jiangsu,minor,1253548,1253548
Laiwu,36.1833,117.6667,China,CN,Shandong,,1248636,1248636
Jingling,30.6667,113.1667,China,CN,Hubei,,1247400,1247400
Yongcheng,33.9317,116.4459,China,CN,Henan,,1240382,1240382
Yiwu,29.3081,120.0698,China,CN,Zhejiang,minor,1234015,1234015
Beidao,34.6020,105.9180,China,CN,Gansu,minor,1225000,1225000
Xiangshui,26.5964,104.8314,China,CN,Guizhou,,1221000,1221000
Dadukou,26.5849,101.7149,China,CN,Sichuan,minor,1214121,1214121
Lingcheng,22.7000,110.3500,China,CN,Guangxi,,1211637,1211637
Xinyu,27.7950,114.9242,China,CN,Jiangxi,minor,1202499,1202499
Zhangye,38.9355,100.4553,China,CN,Gansu,minor,1199515,1199515
Liaoyuan,42.8976,125.1381,China,CN,Jilin,,1176239,1176239
Yingtan,28.2333,117.0000,China,CN,Jiangxi,,1175000,1154223
Guankou,28.1417,113.6250,China,CN,Hunan,minor,1168056,1168056
Dingzhou,38.5158,114.9845,China,CN,Hebei,,1165182,1095986
Lianyuan,27.6961,111.6659,China,CN,Hunan,minor,1162928,1162928
Rongcheng,29.8239,112.9019,China,CN,Hubei,minor,1162770,1162770
Kaiyuan,36.0656,113.8153,China,CN,Henan,minor,1160000,1160000
Zhuji,29.7169,120.2314,China,CN,Zhejiang,minor,1157938,1157938
Leiyang,26.4179,112.8457,China,CN,Hunan,minor,1151554,1151554
Yichun,47.7235,128.8893,China,CN,Heilongjiang,minor,1148126,1148126
Xiantao,30.3833,113.4000,China,CN,Hubei,,1140100,1140100
Yingchuan,34.1511,113.4733,China,CN,Henan,minor,1131896,1131896
Xibeijie,39.7370,98.5049,China,CN,Gansu,minor,1095947,1095947
Yuyao,30.0372,121.1546,China,CN,Zhejiang,,1095000,1095000
Hanchuan,30.6520,113.8274,China,CN,Hubei,,1092700,1092700
Gongzhuling,43.5036,124.8088,China,CN,Jilin,minor,1092692,1092692
Zhufeng,36.0000,119.4167,China,CN,Shandong,,1081960,1081960
Ezhou,30.3972,114.8842,China,CN,Hubei,minor,1079353,1079353
Xiashi,30.5333,120.6833,China,CN,Zhejiang,minor,1076199,1076199
Taixing,32.1724,120.0142,China,CN,Jiangsu,minor,1073921,1073921
Zhongwei,37.5139,105.1884,China,CN,Ningxia,minor,1067336,1067336
Mizhou,35.9900,119.3801,China,CN,Shandong,minor,1060000,1060000
Xishan,27.6609,113.4946,China,CN,Hunan,minor,1060000,1060000
Hegang,47.3139,130.2775,China,CN,Heilongjiang,minor,1058665,1058665
Fangchenggang,21.6000,108.3000,China,CN,Guangxi,minor,1046068,1046068
Shouguang,36.8833,118.7333,China,CN,Shandong,,1039205,1039205
Sanya,18.2533,109.5036,China,CN,Hainan,minor,1031396,1031396
Wutong,30.6326,120.5474,China,CN,Zhejiang,minor,1029754,1029754
Linhai,28.8523,121.1409,China,CN,Zhejiang,,1028813,1028813
Wafangdian,39.6271,121.9972,China,CN,Liaoning,,1024876,1024876
Zhongxiang,31.1690,112.5853,China,CN,Hubei,,1022514,1022514
Xinyi,22.3559,110.9369,China,CN,Guangdong,,1013900,1013900
Zaoyang,32.1287,112.7581,China,CN,Hubei,,1004741,1004741
Xingyi,25.0910,104.9011,China,CN,Guizhou,,1004132,1004132
Shuizhai,33.4433,114.8994,China,CN,Henan,,1003698,1003698
Zhangjiakou Shi Xuanhua Qu,40.5944,115.0243,China,CN,Hebei,minor,409745,409745
Lianhu,34.2585,108.9242,China,CN,Shaanxi,minor,,
Binhu,32.0301,118.7577,China,CN,Jiangsu,minor,,
Hongkou,31.2500,121.4892,China,CN,Shanghai,minor,,
Wulaocun,32.0344,118.7958,China,CN,Jiangsu,minor,,
Changning,31.2174,121.4211,China,CN,Shanghai,minor,,
Xixiangtang,22.8376,108.3116,China,CN,Guangxi,minor,,
Dayingmen,39.1073,117.2096,China,CN,Tianjin,minor,,
Wuma,28.0173,120.6659,China,CN,Zhejiang,minor,,
Yanping,26.6381,118.1682,China,CN,Fujian,minor,,
Chaowai,39.9181,116.4324,China,CN,Beijing,minor,,
Liuxiang,37.8714,112.5605,China,CN,Shanxi,minor,,
Changhongjie,39.1373,117.1475,China,CN,Tianjin,minor,,
Yangpu,31.2619,121.5190,China,CN,Shanghai,minor,,
Zhangyelu,36.0575,103.8227,China,CN,Gansu,minor,,
Jinrongjie,39.9122,116.3562,China,CN,Beijing,minor,,
Huancuilou,37.5004,122.1140,China,CN,Shandong,minor,,
Weiyang,34.2906,108.9355,China,CN,Shaanxi,minor,,
Meiyuan Xincun,32.0542,118.7928,China,CN,Jiangsu,minor,,
Dongtundu,28.1837,113.0321,China,CN,Hunan,minor,,
Sanjiang,31.3481,118.3613,China,CN,Anhui,minor,,
Dongjie,26.0882,119.2945,China,CN,Fujian,minor,,
Haidian,39.9906,116.2887,China,CN,Beijing,minor,,
Nanchansi,31.5624,120.3002,China,CN,Jiangsu,minor,,
Xinluoqu,25.1022,117.0303,China,CN,Fujian,minor,,
Daoli,45.7559,126.6034,China,CN,Heilongjiang,minor,,
Gulou,40.3700,116.8335,China,CN,Beijing,minor,,
Xuhui,31.1959,121.4471,China,CN,Shanghai,minor,,
Xihu,36.0673,103.7765,China,CN,Gansu,minor,,
Xiaobailou,39.1177,117.2056,China,CN,Tianjin,minor,,
Nangang,45.7549,126.6456,China,CN,Heilongjiang,minor,,
Pingjianglu,31.3147,120.6298,China,CN,Jiangsu,minor,,
Chong’ansi,31.5799,120.2952,China,CN,Jiangsu,minor,,
Xincheng,34.2632,108.9495,China,CN,Shaanxi,minor,,
Luwan,31.2091,121.4634,China,CN,Shanghai,minor,,
Chengzhong,24.3152,109.4127,China,CN,Guangxi,minor,,
