institute,type,country,us_state
"Brookdale Department of Geriatrics and Palliative Medicine, Icahn School of Medicine at Mount Sinai, New York, New York, USA",University,United States,New York
"Department of Urology, Renji Hospital, Shanghai Jiao Tong University School of Medicine, 160 Pujian Road, Shanghai 200127, China",University,China,???
"The First Clinical Medical School, Southern Medical University, 1023 Shatai South Road, Guangzhou, 510515 Guangdong, China.",University,China,???
"Department of Urology, Renji Hospital, Shanghai Jiao Tong University School of Medicine, 160 Pujian Road, Shanghai 200127, China. Electronic address: drchenrui@foxmail.com.",University,China,???
"Center for Psychological Sciences, Zhejiang University, Hangzhou 310063, China",University,China,???
"Computer School, University of South China, No. 28, West Chang Sheng Road, HengYang, 421001, China",University,China,???
"School of Business, University of Wollongong, NSW, 2522, Australia",University,Australia,???
"Blockchain Research Lab, Hamburg, Germany",University,Germany,???
"Western University, London, Ontario, Canada",University,Canada,???
"Arthur Labatt Family School of Nursing, Western University, London, Ontario, Canada",University,Canada,???
"Duquesne University, Pittsburgh, PA, USA",University,United States,Pennsylvania
"NeMO Lab, ASST GOM Niguarda Cà Granda Hospital, Milan, Italy",Industry,Italy,
"Columbia University, New York, NY 10027, USA",University,United States,New York
"Department of Clinical Neurosciences, Division of Neurology, Geneva University Hospitals, Geneva, Switzerland",University,Switzerland,???
"Faculty of Medicine, University of Geneva, Geneva, Switzerland",University,Switzerland,???
"Department of Clinical Neurosciences, Division of Neurosurgery, Geneva University Hospitals, Geneva, Switzerland",University,Switzerland,???
"Department of Pathology and Immunology, Geneva University Hospitals, Geneva, Switzerland",University,Switzerland,???
"Department of Neurosurgery, Medical University of Innsbruck, Innsbruck, Austria",University,Austria,???
"Department of Computer Science, Collage of Science, Mustansiriyah University, 10052 Baghdad, IRAQ",University,Iraq,???
"Faculty of Information Science and Technology, the National University of Malaysia, Selangor, MALAYSIA",University,Malaysia,
"Department of Medical Psychology, School of Medical Sciences, National University of Asunción, San Lorenzo, Paraguay.",University,Paraguay,???
"Department of Psychiatry, School of Medical Sciences, National University of Asunción, San Lorenzo, Paraguay.",University,Paraguay,???
"Department of Forensic Psychiatry, University of Bern, Switzerland.",University,Switzerland,???
"Department of Clinical and Experimental Medicine, University of Foggia, Italy.",University,Italy,???
"Jan Homolak, Department of Pharmacology, University of Zagreb School of Medicine, Zagreb, Croatia, jan.homolak@mef.hr.",University,Croatia,???
"University of Peradeniya, Peradeniya",University,Sri Lanka,???
"Department of Physical Therapy for Cardiovascular/Respiratory Disorder and Geriatrics, Faculty of Physical Therapy, Cairo University, Giza, Egypt",University,Egypt,???
"Freie Universität Berlin, Institut für Biologie, Altensteinstr. 6, D-14195, Berlin, Germany",University,Germany,???
"Berlin-Brandenburg Institute of Advanced Biodiversity Research (BBIB), D-14195, Berlin, Germany.",Industry,Germany,???
"CSIC, Global Ecology Unit CREAF-CSIC-UAB, Bellaterra, Catalonia 08193, Spain",Industry,Spain,???
"CREAF, Cerdanyola del Vallès, Catalonia 08193, Spain.",University,Spain,???
"School of Human Movement and Nutrition Science, The University of Queensland, St Lucia, Queensland, 4072, Australia. Electronic address: s.trost@uq.edu.au.",University,Australia,???
"Dow Medical College, Dow University of Health Sciences, Karachi, Pakistan",University,Pakistan,???
"Politeknik Negeri Semarang, Semarang, Indonesia",University,Indonesia,???
"Institute of CS and IT, The Women University Multan, Pakistan",University,Pakistan,???
"University of North Texas, USA",University,United states,Texas
"Metropolitan State University, 80204, Denver, CO, USA",University,United states,Colorado
"National Taiwan Normal University, Taipei, Taiwan",University,Taiwan,???
"Carnegie Mellon University, 15213, Pittsburgh, PA, USA",University,United states,Pennsylvania
"GAZİANTEP ÜNİVERSİTESİ, SAĞLIK BİLİMLERİ FAKÜLTESİ",University,Turkey,
"SEC Centre for Independent Living, India",Industry,India,???
"Adjunct professor, Chandigarh University, Punjab, India",University,India,???
"Second Department of Urology, National and Kapodistrian University of Athens, Sismanogleio General Hospital, Athens, Greece.",University,Greece,???
"University of Duisburg-Essen, Essen, Germany",University,Germany,???
"Singapore Management University, Singapore, Singapore",University,Singapore,???
"Department of Early Chilhood Education, Faculty of Education and Psychology, Universitas Negeri Manado, Tondano, North Sulawesi 95618, Indonesia.",University,Indonesia,???
"School of Business and Law, Edith Cowan University, Joondalup, Australia",University,Australia,???
"Department of Plant Protection, College of Agriculture and Natural Resources, University of Tehran, 31587‐77871, Karaj, Iran",University,Iran,???
"Department of Agricultural Entomology, Faculty of Agriculture, Tarbiat Modares University, P.O. Box 14115‐336, Tehran, Iran",University,Iran,???
"Faculty of Medicine, Shimane University, Izumo, Japan",University,Japan,???
"General Medicine Center, Shimane University Hospital, Izumo, Japan",University,Japan,???
"Department of Internal Medicine, University of Michigan Medical School, Ann Arbor, MI, United States",University,United States,Michigan
"Medicine Service, VA Ann Arbor Healthcare System, Ann Arbor, MI, United States",Industry,United States,Virginia
"Faculty of Health Sciences, Gaziantep University, Gaziantep, Turkey",University,Turkey,???
"Department of Neurological Surgery, Lenox Hill Hospital/Donald and Barbara Zucker School of Medicine at Hofstra/Northwell, New York, New York, USA.",Industry & University,United States,New York
"Information Center, West China Hospital, Sichuan University, Chengdu, China.",University,China,???
"Department of Otolaryngology-Head and Neck Surgery, West China Hospital, Sichuan University, Chengdu, China.",University,China,???
"Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, TN, United States.",University,United States,Tennessee
"Department of Computer Science, University of Pisa, 56127 Pisa, Italy",University,Italy,???
"Department of Musculoskeletal Radiology, Royal Orthopaedic Hospital, Birmingham, UK.",Industry,???,???
"Division of Community Internal Medicine, Geriatrics and Palliative Care, Mayo Clinic Minnesota, Rochester, MN, USA",Industry,???,Minnesota
"Orthopedics Department of The Sixth Affiliated Hospital, School of Medicine, South China University of Technology, 528042, Foshan, China",University,China,???
"Institute for Skeletal Aging & Orthopedic Surgery, Hallym University-Chuncheon Sacred Heart Hospital, 24252, Chuncheon-si, Gangwon-do, Republic of Korea",University,South Korea,???
"Academic Unit of Ophthalmology, Institute of Inflammation and Ageing, University of Birmingham, Birmingham, UK",University,United Kingdom,???
"Artificial Intelligence and Digital Innovation Research Group, Singapore Eye Research Institute, Singapore, Singapore",Industry,Singapore,???
"Singapore National Eye Centre, Singapore, Singapore",Industry,Singapore,???
"Department of Ophthalmology and Visual Sciences, Duke-National University of Singapore Medical School, Singapore, Singapore",University,Singapore,???
HİTİT ÜNİVERSİTESİ,University,Turkey,???
"Department of Healthcare Epidemiology, Graduate School of Medicine and Public Health, Kyoto University, Kyoto, Japan.",University,Japan,???
"Department of Artificial Intelligence, Wrocław University of Science and Technology, Wrocław, Poland",University,Poland,???
"Department of Psychology, University of California San Diego, La Jolla CA 92093, USA",University,United States,California
"Wills Eye Hospital, Mid Atlantic Retina, Thomas Jefferson University, Philadelphia, Pennsylvania, USA.",University,United States,Pennsylvania
"Department of Mechanical Engineering, University Park, PA, USA",University,United States,Pennsylvania
"Leonhard Center for Enhancement of Engineering Education, University Park, PA, USA",University,United States,Pennsylvania
"Department of Business, Marketing and Law, USN School of Business, University of South-Eastern Norway, Hønefoss, Norway",University,Norway,???
Київський національний університет культури і мистецтв,University,Ukraine,???
"Faculty of Education, Firat University, 23119 Elazığ, Türkiye",University,Turkey,???
"Faculty of Education, Kutahya Dumlupınar University, 43100 Kütahya, Türkiye",University,Turkey,???
"Michigan Medicine, University of Michigan, Ann Arbor, MI, USA",University,United States,Michigan
"MSc Digital Culture, Smart Cities, IoT & Advanced Digital Technologies, Department of Informatics, University of Piraeus, 185 34 Piraeus, Greece",University,Greece,
University of Cambridge,University,United Kingdom,
"Department of Human Development and Quantitative Methodology, University of Maryland, 3304 Benjamin Building, College Park, MD 20742, USA. Electronic address: jdien07@mac.com.",University,United States,Maryland
"Epidemiological Research and Health Services Unit, Aging Area, 21(st) Century National Medical Center, Instituto Mexicano del Seguro Social, Mexico City, Mexico. Electronic address: jdme@ciencias.unam.mx.",University,Mexico,???
Stanford University,University,United States,California
Northeastern University,University,United States,Massachusetts
"Faculty of Physics, Physics Education Research, University of Göttingen, Friedrich-Hund-Platz 1, 37077 Göttingen, Germany",University,Germany,???
"Joesph Ayobabalola University, Ikeji‑Arakeji, Nigeria",University,Nigeria,???
"Queen Square Institute of Neurology, University College London, WC1N 3BG, London, UK",University,United Kingdom,???
"Department of Internal Medicine, Chi Mei Medical Center, Chiali, Taiwan",Industry,Taiwan,???
"Faculty of Engineering, Architecture and Urbanism and Geography, Federal University of Mato Grosso do Sul (UFMS), Av. Costa e Silva-Pioneiros, Cidade Universitária, Campo Grande 79070-900, Brazil",University,Brazil,
Sekolah Tinggi Teology Pelita Dunia,University,Indonesia,???
"Department of Neurosurgery, Xiangya Hospital, Central South University, Changsha 410011, China.",University,China,???
"Department of Surgery, The Ohio State University Wexner Medical Center and James Comprehensive Cancer Center, Columbus, OH, USA",University,United States,Ohio
"Centre for Humanities Research, University of the Western Cape, Bellville, WC, South Africa",University,South Africa,???
"Katholische Hochschule NRW – FB Gesundheitswesen, Standort Köln, Köln, Deutschland",University,Germany,???
"Department of Biomedical Engineering, School of Medicine, Tsinghua University, Beijing, China.",University,China,???
"Masaryk University, Czechia",University,Czechia,???
"Department of Statistics and Actuarial Science, The University of Hong Kong, Hong Kong, China",University,China,???
"Evidence-Based Health Care & Knowledge Translation Research Chair, King Saud University, Riyadh 11587, Saudi Arabia",University,Saudi Arabia,???
"Solid Organ Transplant Center of Excellence, King Faisal Specialist Hospital and Research Center, Riyadh 11564, Saudi Arabia",Industry,Saudi Arabia,???
"College of Pharmacy, Alfaisal University, Riyadh 11533, Saudi Arabia",University,Saudi Arabia,???
"Department of Family and Community Medicine, King Saud University Medical City, Riyadh 11411, Saudi Arabia",University,Saudi Arabia,???
"Pediatric Department, King Saud University Medical City, King Saud University, Riyadh 11411, Saudi Arabia",University,Saudi Arabia,???
"UCSB Department of Materials Engr II, UCSB Engineering II room 1355, Santa Barbara, CA 93 Santa Barbara, CA 93106-5070",University,United States,California
"Uppsala universitet, Sverige",University,Sweden,???
"Harvard Medical School, Boston, Massachusetts",University,United States,Massachusetts
"Medically Engineered Solutions in Healthcare, Innovation in Operations Research Center, Massachusetts General Hospital, Boston, Massachusetts.",Industry,United States,Massachusetts
"Medically Engineered Solutions in Healthcare, Innovation in Operations Research Center and Associate Chair of Innovation & Commercialization, Mass General Brigham Enterprise Radiology",Industry,United States,Massachusetts
"Executive Director, MESH Incubator. Massachusetts General Hospital, Boston, Massachusetts",Industry,United States,Massachusetts
"and Department of Radiology, Massachusetts General Hospital, Boston, Massachusetts. Electronic address: msucci@mgh.harvard.edu.",Industry,United States,Massachusetts
"Centre Hospitalier de Sarrebourg, 25 avenue du général de Gaulle, 57400, Sarrebourg, France.",Industry,France,???
"Department of Public Health, Strasbourg University Hospital, FMTS, GMRC, 1 avenue de l'hôpital, 67091 Strasbourg, France.",University,France,
"Department of Hand Surgery, Strasbourg University Hospitals, FMTS, 1 avenue Molière, 67200 Strasbourg, France",University,France,
"ICube CNRS UMR7357, Strasbourg University, 2-4 rue Boussingault, 67000 Strasbourg, France. Electronic address: philippe.liverneaux@chru-strasbourg.fr.",University,France,???
"University of Maryland Medical Intelligent Imaging (UM2ii) Center, Department of Diagnostic Radiology and Nuclear Medicine, University of Maryland School of Medicine, Baltimore, MD.",University,United States,Maryland
"Ninewells Hospital, NHS Tayside, Dundee, UK",University,United Kingdom,
"Department of Physiology, Christian Medical College, Vellore, Tamil Nadu, India",University,India,???
"Center for Biomedicine and Innovations, Faculty of Medicine, Macau University of Science and Technology, Macau, China",University,China,???
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,University,Turkey,
"Indian Institute of Technology Kharagpur, Kharagpur, West Bengal, India",University,India,???
"School of Electrical and Computer Engineering, National Technical University of Athens, Zografou Campus, 15780, Athens, Greece",University,Greece,???
"Department of Intensive Care Unit, The Second Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China.",University,China,???
"Department of Ophthalmology and Visual Sciences, McGill University, Montreal, QC, Canada. Electronic address: hady.saheb@mcgill.ca.",University,Canada,???
"Adiyaman University Faculty of Medicine, Turkey. Electronic address: ealtunisik@adiyaman.edu.tr.",University,Turkey,???
"Department of Urology, University of Modena, and Reggio Emilia, Modena, Italy",University,Italy,???
"Urology and Nephrology Department, Virgen del Rocío University Hospital, Seville, Spain",University,Spain,???
"Department of Urology and Urosurgery, University Medical Center Mannheim, Medical Faculty Mannheim at Heidelberg University, Mannheim, Germany",University,Germany,???
"Division of Urology, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy",University,Italy,???
"Kinder- und Jugendmedizin, Praxis Martin Schacht, Schwachhauser Heerstr. 63a, 28211, Bremen, Germany",Industry,Germany,???
University of York,University,United Kingdom,???
"Ben-Gurion University of the Negev, Beersheva, Israel, Beersheva, Israel",University,Israel,???
"Anesthesiology and Perioperative Care Service, VA Palo Alto Health Care System, Palo Alto, California, USA",University,United States,California
"Department of Biomedical Informatics, Pediatric Endocrinology, Vanderbilt University Medical Center, Nashville, Tennessee, USA.",University,United States,Tennessee
"Department of Community Health Sciences and Office of Health and Medical Education Scholarship, Cumming School of Medicine, University of Calgary, Calgary, AB, Canada",University,Canada,???
"Soft Matter & Molecular Biophysics Group, Department of Applied Physics, Faculty of Physics, University of Santiago de Compostela, 15705 Santiago de Compostela, Spain.",University,Spain,???
"Department of Organic Chemistry, Center for Research in Biological Chemistry and Molecular Materials, University of Santiago de Compostela, CIQUS, 15705 Santiago de Compostela, Spain.",University,Spain,???
"Department of Orthopaedics, Qilu Hospital of Shandong University Dezhou Hospital, 253000, Dezhou, People’s Republic of China",University,China,???
"Department of Electrical and Electronics Engineering, Mohan Babu University (Erst while Sree Vidyanikethan Engineering College), 517102, Tirupati, Andhra Pradesh, India",University,India,???
"Department of Computer System and Technology, Faculty of Computer Science and Information Technology, Universiti Malaya, 50603, Kuala Lumpur, Malaysia",University,Malaysia,???
"Bascom Palmer Eye Institute, Miami, FL. Electronic address: louiezcai@gmail.com.",University,United States,Florida
"Bascom Palmer Eye Institute, Miami, FL.",University,United States,Florida
"Department of Anesthesiology, West Virginia University, United States of America. Electronic address: JohnstoneR@hsc.wvu.edu.",University,United States,West Virginia
Bursa Uludağ Üniversitesi,University,Turkey,???
"Department of Educational Psychology, University of Connecticut, Storrs, CT, USA",University,United States,Connecticut
"Department of Guidance and Counseling, Faculty of Education and Psychology, Manado State University, Tondano, North Sulawesi 95618, Indonesia.",University,Indonesia,???
"Department of Psychology, Faculty of Education and Psychology, Manado State University, Tondano, North Sulawesi 95618, Indonesia.",University,Indonesia,???
"Research Institute, Cleveland Clinic Main Campus, Cleveland, OH. Electronic address: eldahdj@ccf.org.",University,United States,Ohio
"Research Institute, Cleveland Clinic Main Campus, Cleveland, OH.",University,United States,Ohio
"School of Computer Science and Technology and the Key Laboratory of Intelligent Textile and Flexible Interconnection of Zhejiang Province, Zhejiang Sci-Tech University, Hangzhou 310018, China",University,China,???
"Farmer School of Business, Miami University, Oxford, Ohio",University,United States,Ohio
"Department of Mathematics & Statistics, Helmut Schmidt University, Hamburg, Germany",University,Germany,???
"Maimonides Medical Center, Department of Orthopaedic Surgery, Brooklyn, NY. Electronic address: mmagruder@maimonidesmed.org.",Industry,United States,New York
"Rubin Institute for Advanced Orthopedics, Sinai Hospital of Baltimore, Baltimore, Maryland.",University,United States,Maryland
"Università di Genova, Italy",University,Italy,???
"Università della Svizzera italiana, USI, Switzerland",University,Switzerland,???
"Servicio de Medicina Intensiva, Hospital Universitario 12 de Octubre, Madrid, Spain.",University,Spain,???
University of Science and Technology of China,University,China,???
Microsoft Research Asia,Industry,China,???
"Department of Surgery, The Ohio State University Wexner Medical Center, 395 W. 12th Avenue, Suite 670, 43210, Columbus, OH, USA",University,United States,Ohio
"School of Economics and Management, Beihang University, Beijing, P. R. China",University,China,???
"Division of Vascular and Interventional Radiology Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA.",University,United States,Massachusetts
"1Department of Medicine, Division of Immunology & Rheumatology, Stanford University, Stanford CA",University,United States,California
"2Stanford Health Care, Stanford, CA",University,United States,California
"Teichmann International (Schweiz) AG, Dufourstraße 124, 9000, St. Gallen, Switzerland",Industry,Switzerland,???
"Northwestern University Feinberg School of Medicine, USA",University,United States,Illinois
"National Institute of Environmental Health Sciences, USA",University,United States,North Carolina
"Department of Internal Medicine, School of Medicine, Iranshahr University of Medical Sciences, Iranshahr, Iran.",University,Iran,???
"Department of Biochemistry, American International Institute of Medical Sciences, Udaipur, India",University,India,???
"Department of Biochemistry, Shyam Shah Medical College, Rewa, India",University,India,???
"CUI: Neuroethics UNIVP: Brain and Behavioral Sciences, University of Pavia, Pavia, Lombardy, Italy",University,Italy,???
"Data Science Architect in Business Process Management, Kolkata, India",Industry,India,???
"Department of Computer Science and Engineering (AI and ML), Bengal Institute of Technology, Kolkata, India",University,India,???
"Department of Electrical and Computer Engineering, University of Western Macedonia, Kozani, Greece",University,Greece,???
"Department of ECE, Bengal Institute of Technology, Kolkata, India",University,India,???
"Rajnagar Mahavidyalaya, Birbhum, India",University,India,???
"Adjunct professor, Joesph Ayobabalola University, Ikeji-Arakeji, Nigeria",University,Nigeria,???
"Department of Plastic Surgery, Peninsula Health, 3199, Melbourne, Victoria, Australia",Industry,Australia,???
"Faculty of Medicine, Monash University, 3004, Melbourne, Victoria, Australia",University,Australia,???
"Faculty of Medicine, Monash University, 3004, Melbourne, VIC, Australia",University,Australia,???
"Joesph Ayobabalola University, Ikeji-Arakeji, Nigeria.",University,Nigeria,???
"Department of Emergency Medicine, Wayne State University School of Medicine, Detroit, MI, United States of America. Electronic address: jkline@wayne.edu.",University,United States,Michigan
"NantGames, Inc, Los Angeles, CA, United States of America. Electronic address: publications@schneids.me.",Industry,United States,California
"Chandigarh University, Punjab, India",University,India,???
"Nirvana Health, New York, New York, United States",Industry,United States,New York
"School of Business at University of Southern Queensland, Queensland, Australia, Australia",University,Australia,???
"Industrial and Management Systems Engineering, Benjamin M. Statler College of Engineering and Mineral Resources, West Virginia University, Morgantown, WV, United States",University,United States,West Virginia
"2Foulger Consulting Ltd., Durham, United Kingdom",Industry,United Kingdom,???
"1Department of Earth Sciences, Durham University, Science Labs, Durham, United Kingdom",University,United Kingdom,???
"Private Academic Consultant, Samraong, Cambodia.",Industry,Cambodia,???
"Department of Cardiovascular Medicine, Nephrology, and Neurology, Graduate School of Medicine, University of the Ryukyus, 207 Uehara, Nishihara Town, Okinawa, Japan",University,Japan,???
"Karsh Division of Gastroenterology and Hepatology, Cedars-Sinai Medical Center, 8700 Beverly Blvd., 90048, Los Angeles, CA, USA",Industry,United States,California
"Division of Upper GI and General Surgery, Department of Surgery, Keck School of Medicine of USC, Health Care Consultation Center, 1510 San Pablo St #514, 90033, Los Angeles, CA, USA",University,United States,California
"Kiran Patel College of Allopathic Medicine, NOVA Southeastern University, Fort Lauderdale, FL, USA.",University,United States,Virginia
"Department of Surgery, Division of Trauma and Surgical Critical Care, Orlando Regional Medical Center, Orlando, FL, USA.",Industry,United States,Florida
"National Institute of Public Health, Trubarjeva 2, 1000, Ljubljana, Slovenia",Industry,Slovenia,???
"Department of Family Medicine, Medical Faculty, University of Maribor, Taborska 8, 2000, Maribor, Slovenia",University,Slovenia,???
"School of Built Environment, Engineering, and Computing, Leeds Beckett University, Leeds LS6 3QS, UK;, a.bryant@leedsbeckett.ac.uk",University,United Kingdom,???
"Department of Psychological Medicine, Dunedin School of Medicine, the University of Otago, Dunedin, New Zealand.",University,New Zealand,???
"From the Deakin University, Institute for Mental and Physical Health and Clinical Translation (IMPACT).",University,Australia,
"Rheumatology Unit, Department of Precision and Regenerative Medicine - Ionian Area, University of Bari ""Aldo Moro"", Bari, Italy.",University,Italy,???
"Department of Neurosurgery, Massachusetts General Hospital, Boston, Massachusetts, USA.",Industry,United States,Massachusetts
"Department of Neurosurgery, The Warren Alpert Medical School of Brown University, Providence, Rhode Island, USA.",University,United States,Rhode Island
"Department of Clinical Immunology and Rheumatology, Sanjay Gandhi Postgraduate Institute of Medical Sciences, Lucknow, India.",University,India,???
"Medical School OWL, Bielefeld University, Bielefeld, Germany",University,Germany,???
"Faculty of Law, Humboldt-University of Berlin, Germany and European New School of Digital Studies, European University Viadrina, Germany",University,Germany,???
"Department of Dermatology and Allergy Biederstein, Technical University of Munich, Munich, Germany",University,Germany,???
"University of California, Berkeley, USA",University,United States,California
"University of Minnesota, USA",University,United States,Minnesota
"Scheie Eye Institute, University of Pennsylvania, Philadelphia, PA, USA",University,United States,Pennsylvania
University of California Riverside,University,United States,California
"Department of Guidance and Counseling, Faculty of Education, Universitas Negeri Malang, Malang, East Java 65145, Indonesia.",University,Indonesia,???
"School of Computer Science & Technology, Nanjing University of Posts and Telecommunications, Nanjing, China, njupt.edu.cn",University,China,???
"State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China, nju.edu.cn",University,China,???
"Sikkim University, Gangtok, India",University,India,???
"Private Academic Consultant, Samraong, Cambodia. Electronic address: amnuaykleebai@gmail.com.",Industry,Cambodia,???
"Technische Hochschule Nürnberg, Nürnberg, Deutschland",University,Germany,???
"School of Social Sciences, Tsinghua University, Beijing 100084, China",University,China,???
"Undergraduate Department, Taishan University, Taian 250111, China",University,China,???
"University of Health Sciences, Haydarpasa Numune Training and Research Hospital",University,Turkey,???
"Anesthesiology, Weill Cornell Medicine, New York, New York, USA",Industry,United States,New York
"Anesthesiology and Critical Care Medicine, Johns Hopkins School of Medicine, Baltimore, Maryland, USA",University,United States,Maryland
"Department of Anesthesiology, Department of Neurobiology and Anatomy, Wake Forest University, Wake Forest, North Carolina, USA",University,United States,North Carolina
"Department of Biostatistics, University of Kentucky, Lexington, KY",University,United States,Kentucky
"Service Computing Department, IAAS, University of Stuttgart, Universitätsstr. 38, 70569, Stuttgart, BW, Germany",University,Germany,Iowa
"Department of Paediatrics and Adolescent Medicine, The University of Hong Kong, Hong Kong, China",University,China,???
"Center for Geriatrics and Gerontology, Taipei Veterans General Hospital, Taipei, Taiwan, ROC.",Industry,Taiwan,???
"Department of Pharmacy, Taipei Veterans General Hospital Hsinchu Branch, Hsinchu, Taiwan, ROC.",Industry,Taiwan,???
"Zucker School of Medicine at Hofstra/Northwell, Long Island Jewish Medical Center, New Hyde Park, New York, USA.",Industry,United States,New York
"Institute of Health Innovations and Outcomes Research, Feinstein Institutes for Medical Research, Northwell Health, Manhasset, New York, USA.",Industy,United States,New York
"Department of Humanities, Faculty of Economics and Management, Czech University of Life Sciences Prague, Kamýcká 129, 165 00, Praha-Suchdol, Czech Republic",University,Czechia,???
"Department of Systems Engineering, Faculty of Economics and Management, Czech University of Life Sciences Prague, Kamýcká 129, 165 00, Praha-Suchdol, Czech Republic",University,Czechia,???
"Department of Computer Science and Software Engineering, Monmouth University, 07764, New Jersey, USA",University,United States,New Jersey
"Department of Electrical and Computer Engineering, Rowan University, 08028, New Jersey, USA",University,United States,New Jersey
