Name,lat,lon
Ravensbourne,51.501677,0.005651
The University of Reading,51.457625,-0.945636
The Robert Gordon University,57.118344,-2.14474
Roehampton University ,51.455585,-0.247673
Rose Bruford College,51.439271,0.106446
Royal Academy of Music,51.523497,-0.1517
Royal Agricultural University,51.709508,-1.994916
The Royal Central School of Speech and Drama,51.544325,-0.174205
Royal College of Art,51.501354,-0.178473
Royal College of Music,51.499279,-0.176913
Royal Conservatoire of Scotland,55.865813,-4.257595
Royal Holloway and Bedford New College,51.424814,-0.566745
Royal Northern College of Music,53.468557,-2.236963
The Royal Veterinary College,51.536851,-0.133524
SRUC,55.921623,-3.176228
The University of St Andrews,56.341239,-2.793287
St George's Hospital Medical School,51.427798,-0.175228
University of St Mark and St John,50.420866,-4.110758
St Mary's University College,54.593162,-5.961323
"St Mary's University, Twickenham",51.436152,-0.335907
The University of Salford,53.483487,-2.270651
The School of Oriental and African Studies,51.52235,-0.129259
Sheffield Hallam University,53.379194,-1.465255
The University of Sheffield,53.381363,-1.48853
London South Bank University,51.498708,-0.101772
University of South Wales,51.587622,-3.327445
Southampton Solent University,50.907747,-1.400166
The University of Southampton,50.934099,-1.395714
Staffordshire University,52.812975,-2.081855
The University of Stirling,56.145463,-3.920023
Stranmillis University College,54.571733,-5.936458
The University of Strathclyde,55.86125,-4.244706
The University of Sunderland,54.904456,-1.390973
The University of Surrey,51.242572,-0.587946
The University of Sussex,50.86447,-0.087076
Swansea University,51.609627,-3.980616
The National Film and Television School,51.604752,-0.638385
Teesside University,54.572076,-1.234694
The University of West London ,51.507259,-0.303013
The Open University,52.024914,-0.709747
The University of Wales,51.485538,-3.181031
Trinity Laban Conservatoire of Music and Dance,51.483587,-0.007198
University of the Highlands and Islands,57.469405,-4.230246
University of Ulster,55.149335,-6.676089
University Campus Suffolk,52.052392,1.163459
University College Birmingham,52.48184,-1.905939
University College London,51.523569,-0.132424
The University of Warwick,52.385576,-1.564787
"University of the West of England, Bristol",51.501079,-2.547458
The University of the West of Scotland,55.843316,-4.429782
The University of Westminster,51.516792,-0.143367
The University of Winchester,51.060002,-1.32674
The University of Wolverhampton,52.587529,-2.12806
University of Worcester,52.197366,-2.243085
Writtle College,51.737196,0.428133
York St John University,53.964844,-1.079543
The University of York,53.948278,-1.051673
